english,icelandic,alternatives,category,notes,definition_en,definition_is
thermochemistry,varmaefnafræði,,other,,study of measuring the amount of heat absorbed or released during a chemical reaction or a physical change,rannsókn á mælingu á magni varma sem binst eða losnar við efnahvarf eða eðlisbreytingu
titration analysis,títrunargreining,,other,,quantitative chemical analysis method that involves measuring the volume of a reactant solution required to completely react with the analyte in a sample,magnbundin efnagreiningaraðferð sem felur í sér að mæla rúmmál hvarfefnislausnar sem þarf til að hvarfast að fullu við greiningarefnið í sýni
tíðnistuðull (A),tíðnistuðull (A),,other,,,"jöfnunarfasti í Arrheniusar-jöfnunni, sem tengist hlutfallslegum fjölda árekstra sem hafa stefnu sem getur leitt til myndunar myndefnis"
uncertainty,óvissa,,other,,estimate of amount by which measurement differs from true value,mat á því hversu mikið mæling víkur frá sönnu gildi
unified atomic mass unit (u),sameinuð atómmassaeining (u),,other,,alternative unit equivalent to the atomic mass unit,önnur eining sem jafngildir atómmassaeiningu
unimolecular reaction,einsameindahvarf,,other,,elementary reaction involving a single reactant entity,grunnskrefshvarf sem felur í sér eina hvarfefnaeind
unit,eining,,other,,standard of comparison for measurements,samanburðarstaðall fyrir mælingar
unit conversion factor,umreikningsstuðull eininga,,other,,ratio of equivalent quantities expressed with different units; used to convert from one unit to a different unit,hlutfall jafngildra stærða gefið upp með mismunandi einingum; notað til að breyta úr einni einingu í aðra
van der Waals equation,van der Waals-jafnan,,other,,modified version of the ideal gas equation containing additional terms to account for non-ideal gas behavior,breytt útgáfa af jöfnu kjörgass sem inniheldur viðbótarliði til að taka tillit til frávika frá hegðun kjörgass
vapor pressure of water,gufunarþrýstingur vatns,,other,,pressure exerted by water vapor in equilibrium with liquid water in a closed container at a specific temperature,þrýstingur sem vatnsgufa beitir í jafnvægi við fljótandi vatn í lokuðu íláti við ákveðið hitastig
varmarýmd (C),varmarýmd (C),,other,,,útþaninn eiginleiki efnis sem táknar magn varma sem þarf til að hækka hitastig þess um 1 gráðu á Celsíus (eða 1 kelvín)
varmi (q),varmi (q),,other,,,flutningur varmaorku milli tveggja hluta
vermi (H),vermi (H),,other,,,summa innri orku kerfis og stærðfræðilegs margfeldis þrýstings þess og rúmmáls
vermibreyting (ΔH),vermibreyting (ΔH),,other,,,varmi sem losnar eða er tekinn upp af kerfi við stöðugan þrýsting í efna- eða eðlisfræðilegu ferli
vinna (w),vinna (w),,other,,,"orkuflutningur vegna breytinga á ytri, stórsæjum breytum eins og þrýstingi og rúmmáli; eða sem veldur því að efni hreyfist gegn andstæðum krafti"
virkjunarorka (Ea),virkjunarorka (Ea),,other,,,lágmarksorka sem er nauðsynleg til að hvarf geti átt sér stað
weight,þyngd,,other,,force that gravity exerts on an object,kraftur sem þyngdarafl beitir á hlut
